hostel_id,city,distance_to_center_km,rating,num_reviews,room_type,beds_in_room,breakfast_included,wifi,laundry,season,weekend,occupancy_rate,latitude,longitude,distance_to_transport_hub_km,distance_to_popular_places,neighbourhood_popularity_score,walkability_score,noise_level_index,sentiment_score,review_keywords_count,topic_category,recent_sentiment_trend,days_until_checkin,surge_pricing_flag,competitor_average_price,competitor_availability,price_last_week,month,holiday_or_festival,special_event_flag,seasonal_index,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,bathroom_type,price_per_night
465,Jaipur,2.22,8.0,1329,shared,6,1,1,1,peak,0,0.85,26.959399100052885,75.76490980618976,4.61,0.17,8.4,74.0,3.7,-0.08,6,staff,0.21,42,1,1123.51,0.37,1098.0,6,0,0,1.1,11,0,0,1,1,1,3,138,shared,1916.8
466,Chennai,3.33,9.7,1711,shared,4,0,1,0,peak,0,0.56,12.99723840118376,80.2920615669205,0.98,0.68,4.7,79.0,8.4,-0.02,5,staff,-0.19,24,0,1318.8,0.88,389.51,1,0,0,0.7,47,0,1,0,1,0,5,334,shared,1197.79
467,Mumbai,7.96,6.6,1204,shared,4,0,1,1,peak,1,0.78,18.98429597257889,72.90908934784227,4.07,0.53,5.0,48.0,7.7,0.53,8,cleanliness,0.23,17,0,1176.39,0.52,697.71,7,0,0,1.2,39,1,0,1,1,0,5,338,ensuite,1602.14
468,Bangalore,2.28,6.4,1608,private,8,0,1,1,peak,0,0.95,12.891953159310274,77.6102413330596,0.08,1.51,7.2,53.0,7.3,0.08,12,value,0.02,40,0,1448.97,0.66,1380.6,3,0,0,0.8,36,1,1,1,0,1,4,146,ensuite,1684.43
469,Delhi,2.61,6.0,156,shared,6,0,1,1,low,0,0.59,28.621571962932826,77.20011114372483,0.31,3.22,9.3,94.0,1.6,0.7,33,value,-0.21,34,0,984.82,0.64,1164.25,1,0,0,0.7,27,0,0,1,1,1,4,93,shared,688.93
470,Pune,0.28,6.6,1517,shared,12,0,1,1,shoulder,0,0.53,18.529876246693885,73.89491803729904,0.78,0.91,7.0,82.0,1.4,0.42,22,location,0.09,23,1,756.57,0.88,929.2,9,0,0,1.0,38,1,1,1,1,1,2,175,shared,1414.75
471,Udaipur,3.79,6.8,1339,shared,8,1,1,1,shoulder,0,0.46,24.52848879742236,73.7988039255194,0.85,2.06,7.5,51.0,7.3,0.06,41,location,0.01,54,0,1116.62,0.54,367.95,8,0,1,1.2,25,1,0,1,1,1,5,351,shared,1301.24
472,Kerala,1.53,8.4,1706,shared,8,0,1,0,low,1,0.48,10.922541127441345,76.19468663897904,3.77,0.24,8.4,74.0,9.5,0.39,35,location,-0.28,39,0,382.94,0.57,316.08,4,0,0,0.9,42,1,1,0,1,0,3,296,shared,870.34
473,Kolkata,11.28,6.8,1686,shared,4,1,1,0,shoulder,0,0.44,22.561749724613616,88.27617458596269,0.02,3.38,4.8,96.0,8.0,-0.2,10,noise,-0.06,86,1,898.07,0.34,415.77,3,0,0,0.8,39,1,1,1,1,0,2,276,ensuite,817.17
474,Udaipur,5.2,6.1,1879,private,4,0,1,0,low,0,0.45,24.624502095291653,73.6746989404024,2.05,0.25,8.8,61.0,8.5,0.84,48,location,0.17,28,1,1228.08,0.6,659.84,2,0,0,0.7,35,0,0,1,1,1,4,269,ensuite,867.28
475,Bangalore,2.22,9.1,1025,shared,6,0,1,1,peak,1,0.66,13.002174618594033,77.52191778767528,0.28,0.32,5.9,51.0,5.9,-0.18,28,location,0.03,9,0,502.76,0.71,967.03,2,0,0,0.7,15,1,1,1,1,0,1,266,ensuite,1196.65
476,Hyderabad,0.39,7.4,618,shared,6,0,1,0,low,0,0.59,17.348970607785944,78.49187370564566,3.47,0.17,4.2,97.0,3.7,-0.19,45,location,-0.13,78,0,780.49,0.18,517.23,11,0,1,0.8,48,0,0,1,0,0,3,228,shared,832.29
477,Agra,5.89,7.3,455,shared,4,0,1,1,shoulder,0,0.82,27.125333514705147,78.01189625070465,3.02,0.56,5.5,68.0,7.1,0.53,19,cleanliness,0.26,9,0,720.34,0.48,356.27,3,0,0,0.8,21,1,1,1,1,0,1,396,ensuite,828.58
478,Hyderabad,4.83,7.1,230,private,12,0,1,0,shoulder,0,0.92,17.35349125705933,78.5017094332888,1.39,1.21,4.7,65.0,7.4,0.97,44,location,-0.16,89,0,701.96,0.44,399.93,1,0,0,0.7,3,1,1,0,1,0,2,130,ensuite,991.07
479,Delhi,0.61,9.7,1588,shared,6,0,1,1,shoulder,0,0.87,28.76343167476997,77.15154557616621,0.48,6.63,4.6,56.0,7.1,0.83,16,value,-0.15,63,1,1080.75,0.19,769.47,12,0,0,0.9,24,1,1,0,1,0,2,280,ensuite,1757.0
480,Kerala,1.05,6.6,1978,shared,4,0,1,1,peak,0,0.72,10.867755369683923,76.36536594004247,2.01,2.37,5.0,93.0,9.5,0.1,18,cleanliness,-0.09,28,0,897.0,0.37,1150.44,10,0,0,0.9,44,0,0,0,0,0,1,164,shared,1197.77
481,Kolkata,4.73,9.4,1837,shared,4,0,1,1,low,0,0.46,22.523307732503838,88.43955173828783,0.34,0.72,4.3,91.0,4.3,0.04,31,staff,0.24,17,0,1256.78,0.53,1203.2,7,0,0,1.2,5,1,1,1,1,1,2,280,ensuite,1127.87
482,Chennai,0.61,9.0,1411,shared,4,0,1,0,low,0,0.83,13.146269288612087,80.19437344791513,0.42,1.29,7.7,64.0,1.4,0.55,41,noise,0.0,1,0,369.42,0.62,620.16,2,0,0,0.7,37,1,1,1,1,1,2,89,shared,816.82
483,Delhi,7.49,6.3,1653,private,12,0,1,1,shoulder,1,0.62,28.61505187722206,77.07020273775414,1.97,1.46,7.1,42.0,9.2,0.79,17,cleanliness,0.11,24,1,844.69,0.33,1029.78,12,0,0,0.9,33,1,0,1,1,0,5,347,ensuite,1450.53
484,Kerala,1.66,9.7,1299,private,4,0,1,0,low,0,0.45,10.890336674998059,76.22226460500961,9.47,2.6,7.5,67.0,2.4,0.23,42,cleanliness,0.29,84,1,316.8,0.48,731.98,6,1,0,1.1,24,1,0,1,1,1,3,291,shared,2150.45
485,Varanasi,0.27,7.0,104,shared,6,1,1,0,shoulder,0,0.91,25.30542016114986,82.90926347155596,4.43,2.0,5.4,51.0,7.3,0.32,42,value,0.17,50,0,565.03,0.69,1369.76,12,0,0,0.9,6,0,1,1,1,0,4,334,shared,1134.0
486,Udaipur,5.07,6.4,271,shared,8,1,1,0,low,0,0.6,24.631658077213178,73.72144497533117,1.8,1.26,8.4,49.0,8.9,-0.06,7,location,-0.2,21,0,1230.45,0.44,745.46,6,0,0,1.1,47,0,1,0,0,1,5,271,ensuite,879.9
487,Delhi,1.4,9.2,1858,private,4,0,1,0,peak,1,0.53,28.789592256048685,77.11315288040655,1.55,1.66,3.9,64.0,3.8,-0.02,20,staff,0.17,8,0,427.26,0.85,735.49,11,0,1,0.8,45,1,1,0,1,0,2,278,ensuite,2660.81
488,Udaipur,2.24,8.7,906,shared,4,0,1,0,peak,0,0.92,24.63540681958938,73.65794896557762,12.86,2.06,7.0,46.0,8.5,0.48,16,value,0.15,88,0,426.7,0.12,851.72,4,1,0,0.9,7,1,0,1,1,1,4,336,shared,1744.97
489,Mumbai,0.36,8.3,1104,shared,4,0,1,0,low,1,0.94,19.064393071062277,72.92007945006134,1.59,0.21,4.9,97.0,4.0,-0.08,18,value,-0.16,88,0,781.73,0.31,328.05,4,0,0,0.9,19,0,0,1,1,1,2,93,shared,1192.32
490,Hyderabad,0.01,6.6,1987,private,6,1,1,0,peak,0,0.6,17.315195136302776,78.5332828598339,1.09,0.34,6.7,43.0,8.1,0.04,38,cleanliness,-0.1,73,0,1232.33,0.21,759.72,1,0,0,0.7,21,1,1,1,0,0,3,252,shared,1429.48
491,Mumbai,3.05,7.8,228,private,4,0,1,1,peak,1,0.61,19.137270195161086,72.78189599896679,4.81,1.75,5.3,64.0,1.6,0.08,35,staff,0.13,3,0,1065.63,0.53,1211.58,11,0,0,0.8,6,1,0,1,1,1,2,279,shared,1797.73
492,Pune,2.17,9.0,1566,shared,2,1,1,1,peak,0,0.75,18.512541105384273,73.83585154074447,0.53,2.85,8.5,50.0,6.9,0.33,43,value,-0.16,20,0,1238.11,0.24,973.29,6,1,0,1.1,40,1,0,0,0,0,1,141,shared,2435.25
493,Varanasi,2.7,7.2,101,shared,8,0,1,1,shoulder,0,0.84,25.232662464691426,83.05192812824032,0.21,0.79,9.2,81.0,7.1,-0.15,9,noise,-0.18,29,0,359.46,0.69,1366.36,8,0,0,1.2,3,0,1,1,1,1,1,124,shared,1318.88
494,Kolkata,4.74,7.2,136,shared,4,0,1,0,low,0,0.44,22.616411079555373,88.36796372164876,2.01,5.86,8.2,45.0,5.4,0.4,16,noise,0.12,32,0,976.47,0.83,658.19,10,0,0,0.9,49,1,0,1,1,0,1,323,shared,595.28
495,Chennai,3.12,6.0,89,private,8,0,1,1,low,1,0.76,13.041070393183318,80.2402255602878,0.2,0.37,4.2,73.0,7.2,0.91,30,value,0.23,42,1,843.95,0.27,477.68,4,1,0,0.9,14,1,0,1,1,1,1,235,shared,1435.17
496,Manali,0.58,6.7,1857,shared,8,0,1,1,shoulder,0,0.97,32.14937764590104,77.13943523031902,0.93,0.81,4.9,86.0,9.3,-0.17,21,cleanliness,-0.25,89,0,1375.23,0.83,1125.63,1,0,0,0.7,20,1,0,1,1,0,4,343,shared,909.7
497,Udaipur,1.34,9.3,1271,shared,6,1,1,0,shoulder,0,0.56,24.665950202994814,73.66117090398366,1.1,0.71,9.4,97.0,7.6,0.56,48,noise,-0.03,1,0,1184.81,0.61,348.02,4,0,0,0.9,14,1,0,0,1,1,1,359,shared,1281.32
498,Chennai,7.09,7.7,992,shared,6,0,1,1,peak,0,0.95,13.079320218418783,80.19065360677017,1.59,4.0,6.1,82.0,9.7,0.8,15,cleanliness,0.06,86,1,809.21,0.26,475.51,2,0,0,0.7,2,0,1,0,1,1,2,86,ensuite,1052.08
499,Udaipur,4.41,9.7,1405,shared,4,0,1,1,low,1,0.97,24.541592210634604,73.77594528381863,9.57,0.5,9.6,46.0,5.0,0.17,37,location,0.11,30,0,964.62,0.69,857.64,4,0,0,0.9,25,1,1,1,1,0,5,107,shared,1387.64
500,Bangalore,2.44,7.5,925,shared,8,0,1,1,shoulder,1,0.56,13.014877311576983,77.51193148107883,0.5,0.95,5.7,45.0,5.8,-0.04,45,location,0.3,3,0,809.8,0.17,1128.89,8,0,0,1.2,4,1,1,1,0,1,2,169,shared,1401.58
501,Delhi,0.89,8.7,495,shared,8,1,1,1,peak,0,0.85,28.781280475536512,77.06095895317237,0.94,0.31,9.7,84.0,3.4,-0.15,44,cleanliness,0.11,46,0,829.38,0.65,961.07,3,0,0,0.8,41,1,0,1,1,0,2,288,shared,1557.71
502,Pune,1.08,7.1,703,shared,8,0,1,1,low,0,0.54,18.42046141500675,73.76583514771328,0.28,1.1,9.5,53.0,9.9,0.57,8,value,0.07,83,0,1060.9,0.79,1394.38,12,0,0,0.9,48,1,1,0,1,1,2,270,shared,895.58
503,Hyderabad,3.95,7.4,34,shared,2,0,1,1,peak,0,0.84,17.42257043700843,78.54297731394473,1.87,2.92,7.6,67.0,1.5,0.46,36,location,0.29,88,0,559.84,0.86,1020.43,5,0,0,1.0,33,1,1,1,1,0,2,309,ensuite,1498.03
504,Manali,5.71,6.7,165,private,10,0,1,0,low,1,0.88,32.29300233880369,77.09655673644535,2.6,0.54,3.1,99.0,4.2,0.08,35,location,-0.26,44,0,699.82,0.14,1097.46,10,0,0,0.9,2,0,1,0,1,0,5,85,shared,1139.81
505,Rishikesh,3.34,7.3,1550,shared,4,0,1,0,peak,1,0.55,30.0288854854559,78.22926022077364,1.32,2.5,5.8,89.0,3.7,0.8,15,noise,-0.26,64,1,634.99,0.15,1393.31,11,0,0,0.8,23,0,1,1,1,0,1,346,shared,1510.98
506,Udaipur,4.97,8.1,641,private,6,1,1,1,low,0,0.83,24.583324766282036,73.72715947401734,0.56,3.63,9.4,91.0,4.5,0.68,21,value,0.04,65,0,1260.96,0.84,951.71,2,0,0,0.7,44,1,0,1,1,1,3,117,ensuite,1023.47
507,Chennai,4.37,9.8,1822,private,6,0,1,0,low,0,0.89,13.000557179783588,80.2526122720587,1.94,0.11,9.2,92.0,9.3,0.13,31,cleanliness,-0.08,5,0,1430.33,0.73,1086.08,9,1,0,1.0,48,1,1,1,0,0,4,111,ensuite,1613.07
508,Pune,0.49,8.5,1563,shared,2,0,1,0,low,1,0.62,18.56974997650307,73.81315421344982,1.55,2.12,4.3,77.0,4.3,0.7,12,location,-0.24,6,0,797.16,0.72,628.16,3,0,0,0.8,21,0,0,1,0,0,5,361,shared,928.67
509,Goa,1.65,6.8,1976,shared,6,0,1,0,low,1,0.5,15.368791203712671,74.0790378144855,0.38,0.44,5.8,85.0,9.3,0.09,25,value,-0.12,50,0,392.52,0.69,890.43,1,0,0,0.7,15,0,0,1,1,0,5,302,shared,546.6
510,Manali,0.5,6.2,1743,private,8,1,1,1,peak,0,0.46,32.16123733146493,77.24825806120124,1.04,0.29,8.8,62.0,4.8,0.61,37,location,0.1,67,0,412.26,0.67,1303.15,7,1,0,1.2,24,1,0,1,1,0,5,367,shared,3000.0
511,Goa,0.8,6.5,1090,shared,8,0,1,0,shoulder,0,0.75,15.362592050686567,74.21879561901744,1.14,1.38,7.0,100.0,8.7,-0.06,9,noise,0.23,17,0,779.51,0.59,1238.65,11,0,0,0.8,20,1,0,1,1,0,4,242,shared,1056.28
512,Mumbai,6.1,8.1,1638,shared,10,0,1,0,low,0,0.99,19.13031403409691,72.84730821408976,8.1,1.83,8.9,57.0,5.7,0.63,36,value,-0.24,40,0,773.98,0.75,636.92,5,0,0,1.0,38,0,1,1,1,0,2,209,shared,1103.74
513,Hyderabad,1.92,8.9,28,shared,6,1,1,1,low,0,0.89,17.35438266407418,78.3945291027218,3.78,0.75,8.8,75.0,3.8,0.09,29,staff,0.02,68,0,475.39,0.13,692.94,9,0,1,1.0,25,1,1,1,1,1,4,240,ensuite,1525.97
514,Agra,2.3,9.6,1417,shared,8,0,1,1,low,0,0.66,27.214757905986716,77.91541315558182,2.65,0.06,9.4,57.0,5.0,0.49,12,noise,-0.12,24,1,1268.55,0.69,1231.01,3,0,0,0.8,22,1,1,1,1,0,5,86,shared,1220.08
515,Agra,0.59,6.1,1898,private,4,1,1,0,low,0,0.72,27.076709624778864,78.05994268304214,4.39,3.59,3.8,47.0,4.8,0.01,31,cleanliness,0.1,55,0,900.16,0.57,613.14,11,0,0,0.8,47,1,1,0,0,1,2,292,shared,1036.81
516,Rishikesh,1.12,8.0,1226,private,6,0,1,1,peak,0,0.57,30.1732595308932,78.27807396432183,2.66,1.97,4.0,74.0,3.3,0.67,30,value,0.03,0,0,430.87,0.83,1276.38,1,0,0,0.7,4,1,1,1,1,0,5,168,shared,1522.31
517,Bangalore,0.79,7.8,246,private,4,0,1,1,shoulder,0,0.5,12.981676647061676,77.65131853148347,4.67,0.48,3.6,61.0,3.6,-0.13,44,location,0.26,54,0,418.46,0.85,1151.15,7,1,0,1.2,16,1,1,1,1,1,3,159,shared,2204.47
518,Chennai,0.69,8.5,1420,shared,6,1,1,1,shoulder,0,0.69,13.1067677728124,80.31019940205772,0.11,1.03,9.5,75.0,2.7,-0.0,33,value,-0.28,2,1,835.16,0.29,467.59,8,1,0,1.2,43,1,0,1,1,0,1,344,shared,2154.01
519,Kerala,3.05,8.1,1459,shared,6,1,1,0,shoulder,0,0.68,10.88343188270782,76.35260126985308,1.22,0.04,6.3,74.0,4.0,0.02,13,cleanliness,-0.02,53,1,440.2,0.73,1091.74,11,1,0,0.8,7,1,1,1,1,0,1,255,shared,1518.72
520,Rishikesh,0.89,8.6,286,shared,6,0,1,1,peak,1,0.71,30.099173803443673,78.34476485820933,2.75,0.62,3.5,73.0,6.6,-0.15,22,value,-0.18,80,1,973.44,0.87,1217.76,2,0,0,0.7,24,0,1,1,0,0,5,242,shared,1326.67
521,Delhi,3.0,8.5,1260,shared,6,1,1,1,shoulder,0,0.97,28.775452777507894,77.16016547912425,1.75,1.11,5.3,47.0,4.5,0.69,11,location,0.02,31,1,762.02,0.31,458.78,2,0,0,0.7,34,0,1,0,1,0,2,397,ensuite,1177.0
522,Delhi,0.18,6.4,754,shared,10,0,1,0,peak,0,0.76,28.726040366430308,77.09753783200844,0.39,1.09,5.5,66.0,7.4,0.98,46,noise,0.21,87,1,1403.61,0.78,803.08,9,0,1,1.0,39,0,1,0,1,0,3,290,shared,1992.03
523,Chennai,0.46,9.0,561,shared,6,1,1,0,peak,0,0.76,13.164251998248096,80.23232528152077,0.83,0.35,8.7,89.0,9.9,0.73,25,noise,0.25,1,0,802.69,0.57,1248.89,4,0,0,0.9,29,1,0,0,1,0,3,327,shared,1667.34
524,Kerala,0.96,6.5,1356,shared,12,0,1,0,low,1,0.48,10.866966324446802,76.27250535748894,0.76,2.25,8.1,59.0,4.4,0.83,20,location,-0.06,64,0,1037.32,0.42,518.52,1,0,0,0.7,44,1,0,1,1,0,2,157,ensuite,831.89
525,Kolkata,2.73,8.7,1186,shared,8,0,1,1,peak,1,1.0,22.506824484396116,88.36431432146397,0.61,0.53,7.8,67.0,5.2,-0.19,7,staff,0.19,7,0,1273.62,0.76,794.0,9,0,1,1.0,26,0,0,0,0,0,2,338,shared,1940.09
526,Bangalore,3.38,7.6,648,shared,6,1,1,0,shoulder,0,0.86,13.054312511167861,77.61665510977787,0.84,1.3,3.2,70.0,2.5,-0.06,36,staff,-0.13,57,1,663.45,0.8,974.05,9,0,0,1.0,14,1,0,1,1,1,3,85,shared,1548.28
527,Pune,1.75,8.0,246,shared,8,1,1,1,shoulder,1,0.93,18.556725499671956,73.79391951355659,1.45,0.48,9.4,92.0,4.5,0.47,14,noise,-0.3,52,0,914.27,0.33,406.98,6,0,0,1.1,47,1,1,1,1,0,1,165,shared,1916.92
528,Udaipur,1.77,9.4,1007,shared,4,0,1,0,shoulder,0,0.65,24.625247798887113,73.743623976089,3.86,0.83,4.5,79.0,7.5,0.97,36,cleanliness,0.21,43,1,445.13,0.74,533.26,6,0,0,1.1,20,1,1,1,1,1,1,388,shared,1969.2
529,Kerala,3.87,9.4,64,shared,8,0,1,1,low,1,0.7,10.94759635011432,76.26242018484116,2.71,0.35,7.4,46.0,3.0,0.59,12,value,-0.23,72,0,819.32,0.14,813.4,9,0,0,1.0,7,1,0,1,1,0,3,211,shared,1152.74
530,Agra,0.05,9.1,1469,shared,6,0,1,1,low,0,0.71,27.091739310841916,78.03214096638817,3.61,1.5,3.4,92.0,2.6,0.25,36,location,-0.29,27,1,750.99,0.43,711.05,2,0,0,0.7,18,1,0,0,1,0,4,89,shared,882.24
531,Manali,1.25,7.9,693,private,12,0,1,0,low,0,0.52,32.225318521419034,77.13662096458391,4.3,0.83,3.6,90.0,4.4,-0.02,8,cleanliness,-0.09,18,0,813.83,0.16,657.25,9,0,0,1.0,43,0,1,1,1,0,3,303,ensuite,1271.89
532,Kolkata,5.12,8.8,118,private,8,0,1,1,peak,0,0.81,22.520419078597325,88.35077897877547,1.08,0.02,3.1,85.0,8.4,-0.02,33,value,-0.07,55,0,428.89,0.34,329.0,4,0,0,0.9,10,1,0,1,1,1,5,128,shared,1586.36
533,Udaipur,2.77,7.9,1899,private,8,0,1,0,shoulder,0,0.94,24.61148529294273,73.6545402428905,0.85,0.04,7.0,68.0,6.6,0.24,16,noise,-0.25,19,0,778.08,0.86,1320.73,4,0,0,0.9,46,1,0,1,0,1,4,92,ensuite,1372.41
534,Udaipur,1.23,9.3,1217,shared,8,0,0,0,peak,0,0.5,24.646762336749614,73.78756103135136,0.12,0.96,7.4,85.0,9.6,0.66,41,location,0.19,70,1,1344.32,0.69,1258.57,9,0,0,1.0,30,0,0,0,0,1,2,250,ensuite,1775.47
535,Kolkata,7.08,7.5,1984,shared,6,1,1,1,peak,1,0.45,22.665862141778483,88.3614922090083,5.33,0.3,3.4,69.0,9.1,-0.16,40,cleanliness,-0.06,55,0,1424.47,0.7,731.88,7,0,0,1.2,3,0,0,1,1,0,3,325,ensuite,1304.75
536,Mumbai,4.44,9.7,1401,shared,4,0,1,0,shoulder,1,0.84,19.066919221390943,72.82269628311477,0.14,1.32,5.0,84.0,2.4,0.82,23,value,-0.01,34,0,590.07,0.21,499.51,12,0,0,0.9,44,0,1,0,0,1,3,255,shared,1799.37
537,Goa,0.92,9.5,1231,private,6,0,1,1,low,0,0.56,15.356543646128522,74.0322417391483,2.7,0.79,9.0,93.0,1.4,0.93,41,noise,-0.14,18,0,660.6,0.56,375.95,10,0,0,0.9,1,0,1,1,1,0,4,297,shared,1788.9
538,Udaipur,3.11,8.8,1404,shared,6,0,1,0,shoulder,0,0.77,24.668810318408077,73.74764773293072,0.95,1.59,3.7,93.0,4.6,0.87,35,noise,0.01,80,0,311.47,0.41,435.51,12,0,0,0.9,30,1,1,1,1,0,3,237,ensuite,1277.03
539,Kolkata,2.72,7.1,382,private,4,1,1,0,peak,0,0.82,22.60926508650718,88.30682894279795,5.94,4.57,4.5,67.0,5.7,0.9,48,value,0.16,62,1,438.7,0.69,962.22,5,0,0,1.0,45,1,0,1,1,0,5,378,ensuite,2248.6
540,Kerala,1.54,6.5,982,shared,10,0,1,1,peak,0,0.59,10.799046510489955,76.36901643846376,1.09,1.13,6.0,92.0,5.6,-0.18,30,staff,0.24,81,0,714.14,0.23,1107.31,8,0,1,1.2,2,0,1,0,1,0,1,238,shared,2045.48
541,Kolkata,1.37,9.2,1530,private,6,0,1,1,low,0,0.89,22.59417083022156,88.37064007468304,3.39,2.32,8.9,46.0,2.2,0.97,49,staff,0.28,6,0,1122.13,0.33,472.06,12,0,0,0.9,15,1,0,1,0,0,3,386,shared,1421.77
542,Varanasi,1.26,6.6,1632,private,12,1,1,0,peak,0,0.73,25.411590409563438,82.9316953992496,0.66,2.1,4.8,46.0,2.1,0.24,10,value,-0.04,26,0,650.65,0.82,424.07,1,1,0,0.7,11,0,0,0,0,1,1,373,shared,1261.61
543,Rishikesh,2.88,9.2,210,shared,8,1,1,1,peak,1,0.92,30.184410765772313,78.29913548675853,0.71,3.82,10.0,73.0,1.4,0.84,33,value,0.29,38,1,390.48,0.24,1060.19,7,0,0,1.2,32,1,0,1,0,0,2,226,shared,2908.11
544,Jaipur,1.75,7.9,858,shared,6,1,1,0,shoulder,0,0.86,26.94087196474336,75.74234398468762,1.81,0.36,5.5,79.0,8.7,0.02,21,value,-0.12,29,1,1177.04,0.61,868.72,4,1,0,0.9,6,1,0,1,1,0,2,230,shared,1482.26
545,Mumbai,5.35,7.5,518,shared,10,1,1,1,low,0,0.92,19.153397551574397,72.94175485878195,12.41,2.63,5.7,49.0,9.5,0.34,24,noise,-0.3,22,0,860.12,0.35,709.02,2,0,0,0.7,6,0,0,1,1,0,3,253,ensuite,579.12
546,Hyderabad,3.32,9.4,1355,shared,6,1,1,0,shoulder,0,0.41,17.32506987276972,78.44834721018599,1.46,3.54,3.9,68.0,2.0,-0.15,46,location,0.16,83,1,923.04,0.17,1097.48,2,0,0,0.7,28,1,1,1,0,0,2,376,shared,1108.57
547,Jaipur,0.22,8.3,284,shared,10,1,1,0,shoulder,0,0.55,26.861615720990446,75.88494954647918,5.51,0.75,7.8,46.0,2.9,-0.15,14,noise,-0.19,22,0,691.23,0.28,801.24,11,0,0,0.8,25,1,0,0,1,0,3,281,shared,777.66
548,Rishikesh,3.07,8.2,220,shared,6,0,1,1,shoulder,0,0.45,30.17747752257697,78.28862895708906,3.09,0.56,4.7,76.0,1.8,0.93,10,noise,-0.27,89,0,1035.65,0.8,811.63,12,0,0,0.9,23,0,0,1,1,0,1,158,shared,974.38
549,Rishikesh,0.95,8.1,513,shared,6,0,1,0,peak,1,0.67,30.01394707509896,78.33648222978853,3.18,4.56,7.4,91.0,8.9,0.77,36,staff,0.25,46,0,1368.94,0.83,317.32,9,0,0,1.0,12,1,1,1,1,0,4,348,shared,1895.25
550,Rishikesh,2.7,7.4,1936,shared,6,0,1,0,peak,0,0.93,30.025121287618695,78.18216309391569,1.15,1.48,4.6,84.0,9.6,0.44,6,value,0.18,77,1,964.51,0.44,647.61,6,0,0,1.1,48,0,1,1,1,0,3,181,shared,1868.03
551,Jaipur,3.42,9.0,1151,shared,6,0,1,0,low,0,0.68,26.896509719824014,75.75695988347724,0.98,0.72,5.7,63.0,3.4,0.43,14,noise,-0.24,47,0,1005.02,0.6,305.54,11,0,0,0.8,48,1,0,1,0,1,4,188,shared,749.02
552,Chennai,0.79,7.0,712,shared,6,0,1,1,peak,1,0.91,13.100616857550671,80.31819741723324,0.43,2.35,9.0,100.0,3.7,0.7,41,noise,0.17,62,1,748.28,0.52,1316.23,4,0,0,0.9,10,1,1,1,1,1,1,123,ensuite,1858.08
553,Goa,1.83,9.6,1587,shared,6,0,1,1,low,0,0.6,15.320063443793655,74.15501180346811,6.65,0.54,8.2,80.0,4.3,0.21,31,value,0.21,8,0,399.16,0.32,623.33,2,0,0,0.7,17,0,1,1,1,0,1,94,shared,948.66
554,Kolkata,0.63,9.4,51,shared,6,1,1,1,shoulder,1,0.6,22.530995201733113,88.30274862428675,6.41,0.29,4.1,89.0,5.5,0.71,45,location,0.24,22,0,814.25,0.38,498.57,7,0,0,1.2,2,1,0,1,1,1,4,83,ensuite,1742.34
555,Manali,0.16,7.3,324,private,10,0,1,1,shoulder,0,0.94,32.32372277959007,77.15994058610194,2.75,1.18,7.3,80.0,7.1,0.38,23,staff,0.03,62,0,1409.57,0.52,399.99,9,0,0,1.0,45,1,1,1,0,0,3,327,shared,1682.16
556,Goa,1.43,8.8,797,shared,6,0,1,1,peak,0,0.66,15.382319981521572,74.0766886814975,0.7,1.25,7.4,99.0,5.5,0.57,45,cleanliness,0.12,73,1,1116.26,0.66,351.3,2,0,0,0.7,17,1,0,1,1,0,4,315,shared,1636.61
557,Agra,1.35,8.2,338,private,6,1,1,1,peak,1,0.87,27.155113610610474,78.03077403395237,0.56,2.62,3.6,89.0,9.6,0.96,20,noise,0.16,46,0,888.26,0.38,1274.61,4,0,0,0.9,9,0,1,1,0,1,3,131,shared,2240.65
558,Kerala,16.2,7.3,1050,shared,8,0,1,0,low,1,0.54,10.83735835388606,76.24001364589176,8.95,0.92,6.3,71.0,1.9,0.37,24,location,0.11,86,0,1045.06,0.66,485.36,1,1,0,0.7,47,1,0,1,1,0,3,281,ensuite,525.37
559,Bangalore,1.77,9.8,292,shared,8,0,1,1,peak,0,0.97,13.012099423364782,77.55641084840006,0.14,2.53,4.8,62.0,8.2,0.3,40,cleanliness,0.09,73,0,970.24,0.87,979.23,1,0,0,0.7,7,1,0,1,0,1,4,125,ensuite,1185.26
560,Chennai,1.22,6.1,952,shared,12,0,0,0,peak,0,0.74,13.11529917927978,80.21217559608728,3.71,0.56,6.3,81.0,4.0,0.89,9,value,0.03,65,0,1394.88,0.12,1016.34,3,0,0,0.8,13,1,0,1,0,0,1,138,ensuite,1012.63
561,Hyderabad,2.61,7.0,267,shared,6,1,1,0,peak,1,0.86,17.361459402992192,78.46850542418292,0.88,1.28,8.4,75.0,4.4,0.88,22,cleanliness,-0.01,36,1,568.62,0.23,649.3,1,0,0,0.7,10,1,1,1,1,1,5,253,shared,1596.8
562,Goa,0.28,8.0,584,shared,4,0,1,1,shoulder,0,0.45,15.282148850304202,74.0631005180393,1.09,0.35,4.1,78.0,7.4,0.99,12,value,0.3,37,0,1366.42,0.83,1216.57,4,0,0,0.9,22,1,0,1,1,0,2,111,shared,1355.63
